lemma	bin_tag	mim_tag	freq	rank	ind	manual_en	pre_kw	kw	post_kw	ipa_sd	full_cat	full_cat_en	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce
upp	fs	a	57325	68.5	495339	up, upwards	Mjög margir gestir voru ferjaðir í þyrlu	upp	fjallið.	ʏhp	Forsetning	Preposition	prep.	1K								upp																		upp.mp3
margur	lo	l	55717	70	478739	many		Margir	bíða svo spenntir að sjá hvað Guðlaugur Þór Þórðarson gerir.	markʏr	Lýsingarorð	Adjective	adj.	1K																					margur  --  mörg -- margt	fleiri -- fleiri -- fleira	flestur -- flest -- flest			margur.mp3
úr	fs	a	55520	71.5	495341	out of; from	Beðið er niðurstöðu	úr	blóðprufu.	uːr	Forsetning	Preposition	prep.	1K								úr																		úr.mp3
fá	so	s	53300	73	464090	get; be allowed	Hrefnuveiðimenn	fengu	leyfi til að skjóta 100 hrefnur.	fauː	Sagnorð	Verb	v.	1K	fæ	færð	fær	fékk	fékkst	fékk	fengið																			fá.mp3
fram	fs	a	52103	74.5	495281	out into the corridor; forward	Verðlaunafhending fer	fram	laugardaginn eftir viku.	fram	Forsetning	Preposition	prep.	1K								fram																		fram.mp3
eins	ao	a	51351	76	495530	alike	Þetta er nákvæmlega	eins	.	eins	Atviksorð	Adverb	adv.	1K								eins																		eins.mp3
þú	pfn	fp	51188	78.5	403782	you	Núna eru sjö vikur síðan	þú	hættir störfum.	θuː	Fornafn	Pronoun	pers.pron.	1K									þig	þér	þín	þið	ykkur	ykkur	ykkar											þú.mp3
góður	lo	l	49574	81	412191	good	Hann er á	góðum	batavegi.	kouːðʏr	Lýsingarorð	Adjective	adj.	1K																					góður  --  góð -- gott	betri -- betri -- betra	bestur -- best -- best			góður.mp3
einn	to	t	48362	84	403788	one		Einn	ökumaður var stöðvaður , grunaður um akstur undir áhrifum áfengis.	eitn̥	Töluorð	Numeral	num.	1K																einir -- einar -- ein	einn  --  ein -- eitt									einn.mp3
enginn	fn	fo	44429	87	478807	no one, nobody	Enn hafa hins vegar	engin	svör borist.	eiɲcɪn	Fornafn	Pronoun	pron.	1K																engir -- engar -- engin	enginn  --  engin -- ekkert									enginn.mp3
