lemma	bin_tag	mim_tag	freq	rank	ind	manual_en	pre_kw	kw	post_kw	ipa_sd	full_cat	full_cat_en	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce
hjúkrunarfræðingur	kk	nk	952	1800.5	99420	nurse	Aðalfundur Félags íslenskra	hjúkrunarfræðinga	var haldinn í gærkvöldi.	çuːkrʏnar̥fraiðiŋkʏr	Nafnorð	Noun	m.	2K									hjúkrunarfræðing	hjúkrunarfræðingi	hjúkrunarfræðings	hjúkrunarfræðingar	hjúkrunarfræðinga	hjúkrunarfræðingum	hjúkrunarfræðinga											hjúkrunarfræðingur.mp3
afurð	kvk	nv	949	1802	461271	product, produce	Þær	afurðir	eru mikið notaðar í fiskeldi.	aːvʏrð	Nafnorð	Noun	f.	2K									afurð	afurð	afurðar	afurðir	afurðir	afurðum	afurða											afurð.mp3
takk	uh	a	948	1803	495413	thanks	Einmitt ,	takk	fyrir það.	tʰahk	Upphrópanir	Exclamation	exclam.	2K								takk																		takk.mp3
brýnn	lo	l	947	1804	165615	urgent	Slíkt er óheimilt nema	brýna	nauðsyn beri til.	pritn̥	Lýsingarorð	Adjective	adj.	2K																					brýnn  --  brýn -- brýnt	brýnni -- brýnni -- brýnna	brýnastur -- brýnust -- brýnast			brýnn.mp3
lágt	ao	a	946	1806	400711	low	Þarna finnst mér að ríkisvaldið leggist æði	lágt	.	lauxt	Atviksorð	Adverb	adv.	2K																								lægra	lægst	lágt.mp3
spenna	kvk	nv	946	1806	14621	tension	Hann svaf ekkert í nótt vegna einskærrar	spennu	.	spɛna	Nafnorð	Noun	f.	2K									spennu	spennu	spennu	spennur	spennur	spennum	spenna											spenna.mp3
vör	kvk	nv	946	1806	10705	lip	En flest ungmenni sem nota þetta tóbak taka það í	vörina	.	vœːr	Nafnorð	Noun	f.	2K									vör	vör	varar	varir	varir	vörum	vara											vör.mp3
neysla	kvk	nv	945	1808	16580	consumption	Hófleg	neysla	áfengis eftir sextugt getur gert manni gott.	neistla	Nafnorð	Noun	f.	2K									neyslu	neyslu	neyslu	neyslur	neyslur	neyslum	neyslna											neysla.mp3
flugvöllur	kk	nk	944	1810	85256	airport	Vænlegasti kosturinn fyrir borgina væri að byggja nýjan	flugvöll	á Hólmsheiði.	flʏɣvœtlʏr	Nafnorð	Noun	m.	2K									flugvöll	flugvelli	flugvallar	flugvellir	flugvelli	flugvöllum	flugvalla											flugvöllur.mp3
framangreindur	lo	l	944	1810	478641	above-mentioned		Framangreindar	fjárhæðir eru skattskyldar launatekjur bankastjóranna öll árin.	fraːmankreintʏr	Lýsingarorð	Adjective	adj.	2K																					framangreindur  --  framangreind -- framangreint					framangreindur.mp3
orða	so	s	944	1810	422202	phrase; formulate	Það er stundum	orðað	svo að sólin standi kyrr á sólstöðum.	ɔrða	Sagnorð	Verb	v.	2K	orða	orðar	orðar	orðaði	orðaðir	orðaði	orðað																			orða.mp3
hanna	so	s	943	1813	420665	design	Flest skipanna eru	hönnuð	af Íslendingum.	hana	Sagnorð	Verb	v.	2K	hanna	hannar	hannar	hannaði	hannaðir	hannaði	hannað																			hanna.mp3
talsmaður	kk	nk	943	1813	88892	spokesman	Þetta staðfestir	talsmaður	bandaríska hersins.	tʰalsmaðʏr	Nafnorð	Noun	m.	2K									talsmann	talsmanni	talsmanns	talsmenn	talsmenn	talsmönnum	talsmanna											talsmaður.mp3
þága	kvk	nv	943	1813	403766	interest, benefit	Hann dreymir um að efla rannsóknir í	þágu	atvinnulífsins.	θauːɣa	Nafnorð	Noun	f.	2K									þágu	þágu	þágu															þága.mp3
hella	so	s	942	1815	466690	pour	Talið er að bensíni hafi verið	hellt	í útidyramottu.	hɛtla	Sagnorð	Verb	v.	2K	helli	hellir	hellir	hellti	helltir	hellti	hellt																			hella.mp3
fyrirkomulag	hk	nh	941	1816.5	468928	arrangement, system	Ef svona gerist þá er þetta gott	fyrirkomulag	.	fɪːrɪr̥kʰɔmʏlaɣ	Nafnorð	Noun	n.	2K									fyrirkomulag	fyrirkomulagi	fyrirkomulags															fyrirkomulag.mp3
yrkja	so	s	941	1816.5	427385	compose poetry	Hann hafði gaman af því að	yrkja	ljóð.	ɪr̥ca	Sagnorð	Verb	v.	2K	yrki	yrkir	yrkir	yrkti	yrktir	yrkti	yrkt																			yrkja.mp3
algerlega	ao	a	940	1819	495064	absolutely	En samningarnir eru	algerlega	aðskildir.	alcɛrlɛɣa	Atviksorð	Adverb	adv.	2K								algerlega																		algerlega.mp3
hægt	ao	a	940	1819	402526	slowly	Hún hvetur því ökumenn til að fara	hægt	við slíkar aðstæður.	haixt	Atviksorð	Adverb	adv.	2K																								hægar	hægast	hægt.mp3
kjarasamningur	kk	nk	940	1819	98482	wage contract, wage agreement		Kjarasamningar	á almennum vinnumarkaði eru í algerri óvissu.	cʰaːrasamniŋkʏr	Nafnorð	Noun	m.	2K									kjarasamning	kjarasamningi	kjarasamnings	kjarasamningar	kjarasamninga	kjarasamningum	kjarasamninga											kjarasamningur.mp3
skipting	kvk	nv	939	1821	11947	division	Þar á sérstaklega að ræða leiðir til	skiptingar	svæðisins.	scɪftiŋk	Nafnorð	Noun	f.	2K									skiptingu	skiptingu	skiptingar	skiptingar	skiptingar	skiptingum	skiptinga											skipting.mp3
heilagur	lo	l	938	1823.5	409211	holy	Það ætti að vera	heilög	skylda hvers einstaklings að gera það.	heiːlaɣʏr	Lýsingarorð	Adjective	adj.	2K																					heilagur  --  heilög -- heilagt	heilagari -- heilagari -- heilagara	heilagastur -- heilögust -- heilagast			heilagur.mp3
stytta	so	s	938	1823.5	463928	shorten	Í staðinn verður fæðingarorlof	stytt	um einn mánuð.	stɪhta	Sagnorð	Verb	v.	2K	stytti	styttir	styttir	stytti	styttir	stytti	stytt																			stytta.mp3
sunnan	fs	a	938	1823.5	495330	from the south	Mikil hálka er á vegum	sunnan	lands og óveður á Mosfellsheiði.	sʏnan	Forsetning	Preposition	prep.	2K								sunnan																		sunnan.mp3
framundan	ao	a	936	1828	498434	ahead	Veðurfræðingur segir vonskuveður	framundan	.	framʏntan	Atviksorð	Adverb	adv.	2K								framundan																		framundan.mp3
leiga	kvk	nv	936	1828	16288	rent		Leigan	hefur hækkað um 30 þúsund krónur á einu ári.	leiːɣa	Nafnorð	Noun	f.	2K									leigu	leigu	leigu	leigur	leigur	leigum	leigna											leiga.mp3
stíll	kk	nk	936	1828	4780	style	Íbúðin er í nútímalegum	stíl	og hefur aðgengi að bílastæði.	stitl̥	Nafnorð	Noun	m.	2K									stíl	stíl	stíls	stílar	stíla	stílum	stíla											stíll.mp3
þak	hk	nh	936	1828	4100	roof	Þá fauk	þak	af hlöðu rétt innan við bæinn.	θaːk	Nafnorð	Noun	n.	2K									þak	þaki	þaks	þök	þök	þökum	þaka											þak.mp3
æfa	so	s	935	1831.5	435664	practice	Kannski voru þeir að	æfa	sig.	aiːva	Sagnorð	Verb	v.	2K	æfi	æfir	æfir	æfði	æfðir	æfði	æft																			æfa.mp3
bolti	kk	nk	935	1831.5	6953	ball; bolt	Hreyfingar með og án	bolta	voru mjög góðar.	pɔl̥tɪ	Nafnorð	Noun	m.	2K									bolta	bolta	bolta	boltar	bolta	boltum	bolta											bolti.mp3
fyrrum	ao	a	934	1833.5	495561	formerly	Maður vildi samkvæmt lögreglu ræða við	fyrrum	sambýliskonu sína.	fɪrʏm	Atviksorð	Adverb	adv.	2K								fyrrum																		fyrrum.mp3
tilvera	kvk	nv	934	1833.5	147795	existence, being	Annars segir hann hamfarirnar lítil áhrif hafa haft á	tilveru	hans.	tʰɪlvɛra	Nafnorð	Noun	f.	2K									tilveru	tilveru	tilveru															tilvera.mp3
skynsamlegur	lo	l	933	1835	391837	sensible	Veðurfræðingur segir	skynsamlegt	að binda niður lausamuni.	scɪnsamlɛɣʏr	Lýsingarorð	Adjective	adj.	2K																					skynsamlegur  --  skynsamleg -- skynsamlegt	skynsamlegri -- skynsamlegri -- skynsamlegra	skynsamlegastur -- skynsamlegust -- skynsamlegast			skynsamlegur.mp3
umsjón	kvk	nv	932	1836.5	125826	supervision	Þeir eru nú	umsjón	afa síns og ömmu.	ʏmsjoun	Nafnorð	Noun	f.	2K									umsjón	umsjón	umsjónar															umsjón.mp3
þétt	ao	a	932	1836.5	466489	closely, tight; often used in multi-word expression, 'jafnt og þétt': steadily	Síðustu sjö ár hefur virkni í Bárðarbungu aukist jafnt og	þétt	.	θjɛht	Atviksorð	Adverb	adv.	2K																								þéttar	þéttast	þétt.mp3
ágætlega	ao	a	931	1838.5	495104	nicely, splendidly	Þetta gengur	ágætlega	hjá ykkur eins og þið vitið vel.	auːcaitlɛɣa	Atviksorð	Adverb	adv.	2K								ágætlega																		ágætlega.mp3
efna	so	s	931	1838.5	434605	fulfil; keep	Háskólanemar	efna	til hvatningargöngu í dag klukkan tvö.	ɛpna	Sagnorð	Verb	v.	2K	efni	efnir	efnir	efndi	efndir	efndi	efnt																			efna.mp3
fljótur	lo	l	930	1840	388371	fast	Hann var þó ómeiddur og var	fljótur	að jafna sig.	fljouːtʏr	Lýsingarorð	Adjective	adj.	2K																					fljótur  --  fljót -- fljótt	fljótari -- fljótari -- fljótara	fljótastur -- fljótust -- fljótast			fljótur.mp3
ís	kk	nk	929	1841.5	5341	ice; ice cream	Vatn í formi gufu og	íss	hefur fundist á tunglinu.	iːs	Nafnorð	Noun	m.	2K									ís	ís	íss	ísar	ísa	ísum	ísa											ís.mp3
punktur	kk	nk	929	1841.5	6144	period; dot; point	Hann fær sekt og	punkta	í ökuferilsskrá.	pʰun̥tʏr	Nafnorð	Noun	m.	2K									punkt	punkti	punkts	punktar	punkta	punktum	punkta											punktur.mp3
útreikningur	kk	nk	928	1843	98365	calculation	Allir	útreikningar	á afleiðingum Icesave samningsins eru gallaðir.	uːtreihkniŋkʏr	Nafnorð	Noun	m.	2K									útreikning	útreikningi	útreiknings	útreikningar	útreikninga	útreikningum	útreikninga											útreikningur.mp3
skáldsaga	kvk	nv	925	1845.5	156255	novel	Verðlaunin hlaut hann fyrir	skáldsöguna	Skugga-Baldur.	skaultsaɣa	Nafnorð	Noun	f.	2K									skáldsögu	skáldsögu	skáldsögu	skáldsögur	skáldsögur	skáldsögum	skáldsagna											skáldsaga.mp3
stjórnun	kvk	nv	925	1845.5	13342	management, control	Stefnt er að því að auka svæðisbundna	stjórnun	fiskveiða.	stjourtnʏn	Nafnorð	Noun	f.	2K									stjórnun	stjórnun	stjórnunar															stjórnun.mp3
sveitarstjórn	kvk	nv	925	1845.5	120327	local government		Sveitarstjórnin	í Vík í Mýrdal hefur þegar bannað slíkt.	sveiːtar̥stjourtn̥	Nafnorð	Noun	f.	2K									sveitarstjórn	sveitarstjórn	sveitarstjórnar	sveitarstjórnir	sveitarstjórnir	sveitarstjórnum	sveitarstjórna											sveitarstjórn.mp3
þroski	kk	nk	925	1845.5	8796	maturity; development	Þetta fer svolítið eftir	þroska	og aldri hverju sinni.	θrɔscɪ	Nafnorð	Noun	m.	2K									þroska	þroska	þroska															þroski.mp3
efa	so	s	924	1848.5	419892	doubt	Hún	efast	um að sparnaðurinn skili sér.	ɛːva	Sagnorð	Verb	v.	2K	efa	efar	efar	efaði	efaðir	efaði	efað																			efa.mp3
raða	so	s	924	1848.5	422448	arrange	Norðurlöndin	raða	sér í toppsætin sem fyrr.	raːða	Sagnorð	Verb	v.	2K	raða	raðar	raðar	raðaði	raðaðir	raðaði	raðað																			raða.mp3
allavega	ao	a	922	1851	495896	anyway, in any case	Ég sá það persónulega	allavega	í annað skiptið.	atlavɛɣa	Atviksorð	Adverb	adv.	2K								allavega																		allavega.mp3
glas	hk	nh	922	1851	1306	glass	Maður var sleginn í höfuð með	glasi	eða flösku.	klaːs	Nafnorð	Noun	n.	2K									glas	glasi	glass	glös	glös	glösum	glasa											glas.mp3
heilbrigði	hk	nh	922	1851	22212	health	Þess vegna er mikilvægt að hugsa almennt um	heilbrigði	.	heilprɪðɪ	Nafnorð	Noun	n.	2K									heilbrigði	heilbrigði	heilbrigðis															heilbrigði.mp3
fyrirhugaður	lo	l	920	1853.5	178422	planned	Bréf hefur verið sent ríkisforstjóra þar sem	fyrirhuguð	launalækkun er kynnt.	fɪːrɪr̥hʏɣaðʏr	Lýsingarorð	Adjective	adj.	2K																					fyrirhugaður  --  fyrirhuguð -- fyrirhugað					fyrirhugaður.mp3
útgerð	kvk	nv	920	1853.5	126689	fisheries, fishing	Talið er að þetta geti riðið einhverjum	útgerðum	að fullu.	uːtcɛrð	Nafnorð	Noun	f.	2K									útgerð	útgerð	útgerðar	útgerðir	útgerðir	útgerðum	útgerða											útgerð.mp3
hverfi	hk	nh	918	1855	1730	neighborhood	Leiguverðið er hins vegar af misjafnt eftir	hverfum	í borginni.	kʰvɛrvɪ	Nafnorð	Noun	n.	2K									hverfi	hverfi	hverfis	hverfi	hverfi	hverfum	hverfa											hverfi.mp3
virka	so	s	917	1856.5	469348	function	Dælan	virkaði	ekki sem skildi og rétt um fimmleytið sökk skútan.	vɪr̥ka	Sagnorð	Verb	v.	2K	virka	virkar	virkar	virkaði	virkaðir	virkaði	virkað																			virka.mp3
þora	so	s	917	1856.5	435725	dare	Fólk	þori	ekki að kaupa þær.	θɔːra	Sagnorð	Verb	v.	2K	þori	þorir	þorir	þorði	þorðir	þorði	þorað																			þora.mp3
lokaður	lo	l	916	1859	391084	closed	Óveður gekk yfir Vestfirði í gær og	lokuðustu	fjallvegir.	lɔːkaðʏr	Lýsingarorð	Adjective	adj.	2K																					lokaður  --  lokuð -- lokað	lokaðri -- lokaðri -- lokaðra	lokaðastur -- lokuðust -- lokaðast			lokaður.mp3
vestan	fs	a	916	1859	495345	from the west	Þrátt fyrir það varð hrun á mörkuðum	vestan	hafs.	vɛstan	Forsetning	Preposition	prep.	2K								vestan																		vestan.mp3
nægilega	ao	a	915	1862.5	497561	enough, sufficiently	Bókin hafi greinilega ekki verið skoðuð	nægilega	vel.	naijɪlɛɣa	Atviksorð	Adverb	adv.	2K								nægilega																		nægilega.mp3
ofangreindur	lo	l	915	1862.5	412908	above-mentioned		Ofangreint	tap á við reikning móðurfélagsins.	ɔːvankreintʏr	Lýsingarorð	Adjective	adj.	2K																					ofangreindur  --  ofangreind -- ofangreint					ofangreindur.mp3
veisla	kvk	nv	915	1862.5	16665	party; banquet	Þetta er alveg þvílík	veisla	sem að byrjar hérna í kvöld.	veistla	Nafnorð	Noun	f.	2K									veislu	veislu	veislu	veislur	veislur	veislum	veislna											veisla.mp3
viðhalda	so	s	915	1862.5	434086	maintain	Skólinn er hugsaður til að	viðhalda	kunnáttu í móðurmálinu.	vɪθhalta	Sagnorð	Verb	v.	2K	viðheld	viðheldur	viðheldur	viðhélt	viðhélst	viðhélt	viðhaldið																			viðhalda.mp3
nef	hk	nh	914	1866	2545	nose	Maður var bitinn í	nefið	á Hafnargötunni í Keflavík í nótt.	nɛːv	Nafnorð	Noun	n.	2K									nef	nefi	nefs	nef	nef	nefjum	nefja											nef.mp3
útvarp	hk	nh	914	1866	466382	radio	Tónleikarnir verða teknir og munu hljóma í bandarísku	útvarpi	.	uːtvar̥p	Nafnorð	Noun	n.	2K									útvarp	útvarpi	útvarps	útvörp	útvörp	útvörpum	útvarpa											útvarp.mp3
vefsíða	kvk	nv	914	1866	157439	website	Þetta kemur fram á	vefsíðu	Hagstofunnar.	vɛfsiða	Nafnorð	Noun	f.	2K									vefsíðu	vefsíðu	vefsíðu	vefsíður	vefsíður	vefsíðum	vefsíðna											vefsíða.mp3
hleypa	so	s	913	1868	466703	run, curdle; let	Áætlað er að umferð verði	hleypt	í gegnum göngin árið 2016.	l̥eiːpa	Sagnorð	Verb	v.	2K	hleypi	hleypir	hleypir	hleypti	hleyptir	hleypti	hleypt																			hleypa.mp3
blóm	hk	nh	912	1869	590	flower	Margir eiginmenn kaupa þá	blóm	handa konu sinni.	plouːm	Nafnorð	Noun	n.	2K									blóm	blómi	blóms	blóm	blóm	blómum	blóma											blóm.mp3
teygja	so	s	911	1870	435462	stretch	Málið er stórt og	teygir	anga sína víða.	tʰeija	Sagnorð	Verb	v.	2K	teygi	teygir	teygir	teygði	teygðir	teygði	teygt																			teygja.mp3
greiddur	lo	l	910	1872.5	388494	paid	Um 14 þúsund manns fengu	greiddar	atvinnuleysisbætur um síðustu mánaðamót.	kreitʏr	Lýsingarorð	Adjective	adj.	2K																					greiddur  --  greidd -- greitt	greiddari -- greiddari -- greiddara	greiddastur -- greiddust -- greiddast			greiddur.mp3
heimamaður	kk	nk	910	1872.5	88074	local person, native	Á fundinum kom fram mikill áhugi	heimamanna	á verkefninu.	heiːmamaðʏr	Nafnorð	Noun	m.	2K									heimamann	heimamanni	heimamanns	heimamenn	heimamenn	heimamönnum	heimamanna											heimamaður.mp3
vandaður	lo	l	910	1872.5	166437	of good quality	Breytingar sem þessar þurfi lengri tíma og	vandaða	umfjöllun.	vantaðʏr	Lýsingarorð	Adjective	adj.	2K																					vandaður  --  vönduð -- vandað	vandaðri -- vandaðri -- vandaðra	vandaðastur -- vönduðust -- vandaðast			vandaður.mp3
varanlegur	lo	l	910	1872.5	392154	permanent; lasting	Þeir vonast þó til að ekki hljótist	varanlegur	skaði af því.	vaːranlɛɣʏr	Lýsingarorð	Adjective	adj.	2K																					varanlegur  --  varanleg -- varanlegt	varanlegri -- varanlegri -- varanlegra	varanlegastur -- varanlegust -- varanlegast			varanlegur.mp3
gráta	so	s	909	1875	433661	cry	Hún viðurkenndi að hún hefði farið að	gráta	.	krauːta	Sagnorð	Verb	v.	2K	græt	grætur	grætur	grét	grést	grét	grátið																			gráta.mp3
afgreiða	so	s	908	1877.5	434481	serve	Málið var	afgreitt	með aðkomu foreldra.	avkreiða	Sagnorð	Verb	v.	2K	afgreiði	afgreiðir	afgreiðir	afgreiddi	afgreiddir	afgreiddi	afgreitt																			afgreiða.mp3
kvarta	so	s	908	1877.5	461138	complain	Hann hafði	kvartað	undan mæði nú um páskana.	kʰvar̥ta	Sagnorð	Verb	v.	2K	kvarta	kvartar	kvartar	kvartaði	kvartaðir	kvartaði	kvartað																			kvarta.mp3
miðla	so	s	908	1877.5	421917	communicate; share, distribute	Forsetinn mun	miðla	af reynslu Íslendinga.	mɪðla	Sagnorð	Verb	v.	2K	miðla	miðlar	miðlar	miðlaði	miðlaðir	miðlaði	miðlað																			miðla.mp3
samhliða	fs	a	908	1877.5	495323	in parallel	Verðtryggð lán hafa einnig hækkað	samhliða	mikilli verðbólgu síðustu mánaða.	saml̥ɪða	Forsetning	Preposition	prep.	2K								samhliða																		samhliða.mp3
lestur	kk	nk	907	1880.5	5735	reading		Lesturinn	hefur sumsé tekið rúmlega sex sólarhringa.	lɛstʏr	Nafnorð	Noun	m.	2K									lestur	lestri	lestrar	lestrar	lestra	lestrum	lestra											lestur.mp3
þykkur	lo	l	907	1880.5	409148	thick	Í dag er svæðið grafið undir	þykku	hraunlagi.	θɪhkʏr	Lýsingarorð	Adjective	adj.	2K																					þykkur  --  þykk -- þykkt	þykkari -- þykkari -- þykkara	þykkastur -- þykkust -- þykkast			þykkur.mp3
barnaverndarnefnd	kvk	nv	905	1882	126942	child protection services	Málið var afgreitt með aðkomu foreldra og tilkynnt	barnaverndarnefnd	.	partnavɛrntarnɛmt	Nafnorð	Noun	f.	2K									barnaverndarnefnd	barnaverndarnefnd	barnaverndarnefndar	barnaverndarnefndir	barnaverndarnefndir	barnaverndarnefndum	barnaverndarnefnda											barnaverndarnefnd.mp3
ættingi	kk	nk	904	1883	9355	relative	Stúlkan var í heimsókn í Danmörku hjá	ættingjum	sínum.	aihtiɲcɪ	Nafnorð	Noun	m.	2K									ættingja	ættingja	ættingja	ættingjar	ættingja	ættingjum	ættingja											ættingi.mp3
líkindi	hk	nh	903	1884.5	2276	probability; similarities	Þannig að fundurinn yrði að öllum	líkindum	fyrir ágústlok.	liːcɪntɪ	Nafnorð	Noun	n.	2K												líkindi	líkindi	líkindum	líkinda											líkindi.mp3
lögmál	hk	nh	903	1884.5	49078	law, principle	Sama	lögmál	gildir í raun og veru um baráttuna við verðbólguna.	lœɣmaul	Nafnorð	Noun	n.	2K									lögmál	lögmáli	lögmáls	lögmál	lögmál	lögmálum	lögmála											lögmál.mp3
dreyma	so	s	902	1887.5	434594	dream	Mér líður eins og mig sé að	dreyma	.	treiːma	Sagnorð	Verb	v.	2K							dreymt																			dreyma.mp3
frænka	kvk	nv	902	1887.5	15761	female relative	Svo var þetta afmælisgjöf frá bestu	frænku	minni.	fraiŋ̥ka	Nafnorð	Noun	f.	2K									frænku	frænku	frænku	frænkur	frænkur	frænkum	frænka											frænka.mp3
sérstaða	kvk	nv	902	1887.5	486272	unique position	Vík gegnir svolítið mikilli	sérstöðu	.	sjɛr̥staða	Nafnorð	Noun	f.	2K									sérstöðu	sérstöðu	sérstöðu															sérstaða.mp3
þyngd	kvk	nv	902	1887.5	10655	weight	Verðlaunin sem sigurvegarinn fær er	þyngd	eiginkonu sinnar af sterkum bjór.	θiŋt	Nafnorð	Noun	f.	2K									þyngd	þyngd	þyngdar	þyngdir	þyngdir	þyngdum	þyngda											þyngd.mp3
afkoma	kvk	nv	900	1891	148432	earnings, profit	Hækkandi hitastig hefur mikil áhrif á	afkomu	jökla.	avkʰɔma	Nafnorð	Noun	f.	2K									afkomu	afkomu	afkomu															afkoma.mp3
mistök	hk	nh	900	1891	473562	mistake	Fyrir	mistök	komst heitt vatn í samband við ammoníak.	mɪːstʰœk	Nafnorð	Noun	n.	2K												mistök	mistök	mistökum	mistaka											mistök.mp3
ráðgjafi	kk	nk	900	1891	106449	consultant	Hún ræddi áður við	ráðgjafa	sína.	rauðcavɪ	Nafnorð	Noun	m.	2K									ráðgjafa	ráðgjafa	ráðgjafa	ráðgjafar	ráðgjafa	ráðgjöfum	ráðgjafa											ráðgjafi.mp3
fæða	kvk	nv	899	1894	15132	food, nourishment	Megintilgangur rannsóknarinnar hafi verið að skoða	fæðu	hrefnunnar hér við land.	faiːða	Nafnorð	Noun	f.	2K									fæðu	fæðu	fæðu															fæða.mp3
mengun	kvk	nv	899	1894	386320	pollution	Markmiðið er þá að draga úr	mengun	og umferðarslysum.	meiŋkʏn	Nafnorð	Noun	f.	2K									mengun	mengun	mengunar															mengun.mp3
spor	hk	nh	899	1894	3509	footprint, track	Lögreglan komst á	sporið	þegar pilturinn reyndi að nota stolin greiðslukort.	spɔːr	Nafnorð	Noun	n.	2K									spor	spori	spors	spor	spor	sporum	spora											spor.mp3
álíta	so	s	898	1897.5	433784	think, presume	Og hann	áleit	að þetta væru bara ágætis kunningjafólk.	auːlita	Sagnorð	Verb	v.	2K	álít	álítur	álítur	áleit	áleist	áleit	álitið																			álíta.mp3
ljósmynd	kvk	nv	898	1897.5	119214	photograph	Honum þótti tíma sínum betur varið með því að taka	ljósmyndir	.	ljousmɪnt	Nafnorð	Noun	f.	2K									ljósmynd	ljósmynd	ljósmyndar	ljósmyndir	ljósmyndir	ljósmyndum	ljósmynda											ljósmynd.mp3
rými	hk	nh	898	1897.5	3012	space	Þannig að það ætti að skapa	rými	á mörkuðum á móti.	riːmɪ	Nafnorð	Noun	n.	2K									rými	rými	rýmis	rými	rými	rýmum	rýma											rými.mp3
undarlegur	lo	l	898	1897.5	392120	strange	Okkur finnst það mjög	undarlegt	.	ʏntarlɛɣʏr	Lýsingarorð	Adjective	adj.	2K																					undarlegur  --  undarleg -- undarlegt	undarlegri -- undarlegri -- undarlegra	undarlegastur -- undarlegust -- undarlegast			undarlegur.mp3
lélegur	lo	l	897	1900	391023	bad, lame		Lélegt	regluverk hafi valdið því að bankarnir hrundu hér á landi.	ljɛːlɛɣʏr	Lýsingarorð	Adjective	adj.	2K																					lélegur  --  léleg -- lélegt	lélegri -- lélegri -- lélegra	lélegastur -- lélegust -- lélegast			lélegur.mp3
markviss	lo	l	896	1901.5	412156	purposeful	Viðbrögð hans hafi ekki verið nægilega	markviss	og fálmkennd.	mar̥kvɪs	Lýsingarorð	Adjective	adj.	2K																					markviss  --  markviss -- markvisst	markvissari -- markvissari -- markvissara	markvissastur -- markvissust -- markvissast			markviss.mp3
reykja	so	s	896	1901.5	435178	smoke	Hún er loks hætt að	reykja	.	reiːca	Sagnorð	Verb	v.	2K	reyki	reykir	reykir	reykti	reyktir	reykti	reykt																			reykja.mp3
dansa	so	s	895	1903.5	419738	dance	Og það var	dansað	og sungið í góða veðrinu.	tansa	Sagnorð	Verb	v.	2K	dansa	dansar	dansar	dansaði	dansaðir	dansaði	dansað																			dansa.mp3
hérað	hk	nh	895	1903.5	476501	district	Starfsmennirnir voru í	héraðinu	til að dreifa hjálpargögnum.	çɛːrað	Nafnorð	Noun	n.	2K									hérað	héraði	héraðs	héruð	héruð	héruðum	héraða											hérað.mp3
ætlun	kvk	nv	894	1905.5	393737	intention		Ætlunin	er að slá starfsemi fyrirtækjanna saman.	aihtlʏn	Nafnorð	Noun	f.	2K									ætlun	ætlun	ætlunar	ætlanir	ætlanir	ætlunum	ætlana											ætlun.mp3
hráefni	hk	nh	894	1905.5	24863	ingredient; raw material	Nú eru íslenskar pylsur alfarið gerðar úr innlendu	hráefni	.	r̥auːɛpnɪ	Nafnorð	Noun	n.	2K									hráefni	hráefni	hráefnis	hráefni	hráefni	hráefnum	hráefna											hráefni.mp3
skipulagður	lo	l	893	1907	413205	organized	Þá eigi	skipulögð	glæpasamtök að vera bönnuð á Íslandi.	scɪːpʏlaɣðʏr	Lýsingarorð	Adjective	adj.	2K																					skipulagður  --  skipulögð -- skipulagt	skipulagðari -- skipulagðari -- skipulagðara	skipulagðastur -- skipulögðust -- skipulagðast			skipulagður.mp3
breiða	so	s	892	1909	434555	spread	Eldarnir hafa	breiðst	hratt út á síðasta sólarhring.	preiːða	Sagnorð	Verb	v.	2K	breiði	breiðir	breiðir	breiddi	breiddir	breiddi	breitt																			breiða.mp3
framför	kvk	nv	892	1909	123477	progress, improvement	Það er mikil	framför	.	framfœr	Nafnorð	Noun	f.	2K									framför	framför	framfarar	framfarir	framfarir	framförum	framfara											framför.mp3
tönn	kvk	nv	892	1909	392113	tooth	Hann hlaut meðal annars kinnbeinsbrot og nokkrar	tennur	brotnuðu.	tʰœn	Nafnorð	Noun	f.	2K									tönn	tönn	tannar	tennur	tennur	tönnum	tanna											tönn.mp3
áfall	hk	nh	891	1911.5	428734	shock, crisis, breakdown	Niðurskurðurinn sé	áfall	fyrir fyrirtæki og almenning á svæðinu.	auːfatl̥	Nafnorð	Noun	n.	2K									áfall	áfalli	áfalls	áföll	áföll	áföllum	áfalla											áfall.mp3
mannvirki	hk	nh	891	1911.5	473091	structure, building	Engar meiriháttar skemmdir urðu á	mannvirkjum	.	manvɪr̥cɪ	Nafnorð	Noun	n.	2K									mannvirki	mannvirki	mannvirkis	mannvirki	mannvirki	mannvirkjum	mannvirkja											mannvirki.mp3
djúpt	ao	a	890	1914	400704	deeply, profoundly	Skipin veiða nú af kappi	djúpt	austur af landinu.	tjuft	Atviksorð	Adverb	adv.	2K																								dýpra	dýpst	djúpt.mp3
stökkva	so	s	890	1914	478567	jump, leap	Faðir stúlkunnar	stökk	ofan í þróna og bjargaði henni.	stœhkva	Sagnorð	Verb	v.	2K	stekk	stekkur	stekkur	stökk	stökkst	stökk	stokkið																			stökkva.mp3
